Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 20, nFeatures = 2000

feature |          frame
        |                   0                   1                   2                   3                   4                   5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19
--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | (749.0,615.0)=35808 (749.0,615.1)=    0 (749.0,615.1)=    0 (749.0,615.1)=    0 (749.1,615.1)=    0 (749.0,615.0)=    0 (749.0,615.2)=    0 (749.1,615.0)=    0 (749.0,615.1)=    0 (749.0,615.0)=    0 (749.0,615.1)=    0 (749.1,615.1)=    0 (749.1,614.9)=    0 (749.0,615.1)=    0 (749.0,615.0)=    0 (749.0,615.1)=    0 (749.1,614.9)=    0 (749.1,615.1)=    0 (749.0,615.0)=    0 (749.1,615.2)=    0 
      1 | (1481.0,1136.0)=34439 (1481.0,1136.1)=    0 (1481.0,1136.0)=    0 (1481.1,1136.2)=    0 (1481.1,1136.2)=    0 (1481.0,1136.0)=    0 (1481.0,1136.3)=    0 (1481.0,1136.0)=    0 (1481.0,1136.2)=    0 (1481.0,1136.1)=    0 (1481.0,1136.1)=    0 (1481.0,1136.1)=    0 (1480.9,1136.1)=    0 (1481.0,1136.0)=    0 (1480.8,1136.1)=    0 (1480.8,1136.1)=    0 (1480.9,1135.9)=    0 (1480.9,1136.2)=    0 (1481.1,1136.1)=    0 (1480.9,1136.3)=    0 
      2 | (1409.0,748.0)=30948 (1409.0,748.1)=    0 (1409.0,748.0)=    0 (1409.0,748.1)=    0 (1409.0,748.1)=    0 (1409.0,748.0)=    0 (1409.0,748.1)=    0 (1409.0,747.9)=    0 (1409.0,748.0)=    0 (1409.0,747.9)=    0 (1409.0,747.9)=    0 (1409.1,747.7)=    0 (1409.0,747.7)=    0 (1409.0,747.8)=    0 (1409.0,747.8)=    0 (1408.9,747.9)=    0 (1409.0,747.9)=    0 (1409.0,747.9)=    0 (1409.0,748.0)=    0 (1408.9,748.1)=    0 
      3 | (851.0,584.0)=29188 (851.0,584.1)=    0 (851.0,584.0)=    0 (851.0,584.2)=    0 (851.0,584.1)=    0 (851.1,583.9)=    0 (851.0,584.1)=    0 (851.1,583.9)=    0 (851.1,584.0)=    0 (851.1,584.0)=    0 (851.0,583.9)=    0 (851.1,583.8)=    0 (851.1,583.8)=    0 (851.0,583.8)=    0 (851.0,583.9)=    0 (851.0,583.9)=    0 (851.0,583.7)=    0 (851.0,583.9)=    0 (851.0,583.9)=    0 (851.0,584.2)=    0 
      4 | (1468.0,762.0)=28816 (1468.0,762.1)=    0 (1467.9,761.9)=    0 (1468.0,762.1)=    0 (1468.0,762.0)=    0 (1468.0,761.9)=    0 (1467.9,762.1)=    0 (1468.0,761.9)=    0 (1467.9,762.0)=    0 (1467.9,762.0)=    0 (1467.8,762.0)=    0 (1467.8,762.0)=    0 (1467.8,761.9)=    0 (1467.9,761.9)=    0 (1467.9,761.8)=    0 (1467.9,762.0)=    0 (1467.9,761.9)=    0 (1467.9,762.0)=    0 (1467.8,761.9)=    0 (1467.7,761.8)=    0 
      5 | (1407.0,763.0)=28271 (1407.0,763.1)=    0 (1407.0,762.9)=    0 (1407.0,763.1)=    0 (1407.0,763.0)=    0 (1407.0,763.0)=    0 (1407.0,763.2)=    0 (1407.0,763.0)=    0 (1407.0,763.1)=    0 (1407.0,763.0)=    0 (1406.9,763.0)=    0 (1407.0,763.0)=    0 (1406.9,762.9)=    0 (1406.9,762.7)=    0 (1406.9,762.8)=    0 (1406.8,762.9)=    0 (1406.9,762.8)=    0 (1406.9,762.9)=    0 (1406.9,762.9)=    0 (1406.8,763.0)=    0 
      6 | (1496.0,1137.0)=28139 (1496.0,1137.1)=    0 (1496.0,1137.0)=    0 (1496.0,1137.3)=    0 (1496.1,1137.2)=    0 (1496.0,1137.1)=    0 (1496.0,1137.3)=    0 (1496.0,1137.1)=    0 (1496.0,1137.2)=    0 (1496.0,1137.1)=    0 (1496.0,1137.1)=    0 (1496.1,1137.1)=    0 (1496.0,1137.1)=    0 (1496.0,1137.1)=    0 (1495.9,1137.1)=    0 (1495.9,1137.2)=    0 (1496.0,1137.0)=    0 (1496.0,1137.3)=    0 (1496.1,1137.2)=    0 (1496.0,1137.3)=    0 
      7 | (1091.0,977.0)=27153 (1091.0,977.0)=    0 (1091.0,977.0)=    0 (1090.9,977.1)=    0 (1091.0,977.0)=    0 (1090.9,977.0)=    0 (1090.9,977.2)=    0 (1091.1,977.0)=    0 (1091.0,977.0)=    0 (1091.1,977.0)=    0 (1090.9,977.0)=    0 (1091.0,977.0)=    0 (1091.0,977.0)=    0 (1090.9,977.1)=    0 (1091.0,977.0)=    0 (1091.0,977.1)=    0 (1091.0,977.0)=    0 (1090.9,977.1)=    0 (1091.0,977.0)=    0 (1091.0,977.1)=    0 
      8 | (1397.0,796.0)=26586 (1397.0,796.0)=    0 (1397.1,795.8)=    0 (1397.0,796.0)=    0 (1397.1,795.9)=    0 (1397.1,795.8)=    0 (1397.0,796.0)=    0 (1397.1,795.7)=    0 (1397.1,795.9)=    0 (1397.1,795.8)=    0 (1396.9,795.8)=    0 (1397.1,795.7)=    0 (1397.0,795.6)=    0 (1397.0,795.7)=    0 (1397.1,795.6)=    0 (1396.9,795.8)=    0 (1397.0,795.7)=    0 (1397.1,795.7)=    0 (1396.9,795.8)=    0 (1397.0,795.8)=    0 
      9 | (1471.0,1137.0)=25605 (1471.0,1137.1)=    0 (1471.0,1137.0)=    0 (1471.0,1137.2)=    0 (1471.1,1137.2)=    0 (1471.0,1137.0)=    0 (1471.0,1137.3)=    0 (1471.1,1137.1)=    0 (1471.0,1137.2)=    0 (1471.0,1137.1)=    0 (1470.9,1137.1)=    0 (1471.0,1137.1)=    0 (1471.1,1137.1)=    0 (1471.0,1137.1)=    0 (1470.9,1137.0)=    0 (1470.9,1137.1)=    0 (1471.0,1137.0)=    0 (1471.0,1137.2)=    0 (1471.1,1137.1)=    0 (1471.0,1137.3)=    0 
     10 | (1403.0,719.0)=24357 (1402.9,719.1)=    0 (1402.9,718.6)=    0 (1402.8,718.8)=    0 (1402.9,718.8)=    0 (1402.8,718.8)=    0 (1402.7,719.3)=    0 (1402.8,719.1)=    0 (1402.7,719.6)=    0 (1402.6,719.8)=    0 (1402.6,719.7)=    0 (1402.8,719.7)=    0 (1402.7,719.5)=    0 (1402.9,719.1)=    0 (1402.9,718.9)=    0 (1402.8,719.2)=    0 (1402.8,719.2)=    0 (1402.7,719.2)=    0 (1402.8,718.7)=    0 (1402.7,718.8)=    0 
     11 | (871.0,994.0)=24222 (871.0,994.1)=    0 (871.0,993.9)=    0 (870.9,994.1)=    0 (871.0,994.0)=    0 (871.0,993.9)=    0 (870.9,994.1)=    0 (871.0,993.8)=    0 (870.9,994.0)=    0 (870.9,993.9)=    0 (870.9,993.9)=    0 (871.0,993.8)=    0 (871.0,993.9)=    0 (871.0,993.9)=    0 (871.0,993.8)=    0 (871.0,994.0)=    0 (871.0,993.9)=    0 (871.0,994.0)=    0 (871.0,994.0)=    0 (871.0,994.0)=    0 
     12 | (1546.0,727.0)=23687 (1545.9,727.0)=    0 (1545.9,726.9)=    0 (1546.0,727.1)=    0 (1545.9,727.0)=    0 (1545.9,726.9)=    0 (1545.9,727.1)=    0 (1545.9,726.9)=    0 (1545.9,727.0)=    0 (1546.0,727.0)=    0 (1545.8,727.0)=    0 (1545.9,726.9)=    0 (1545.8,727.0)=    0 (1545.9,727.0)=    0 (1545.9,727.1)=    0 (1545.9,727.1)=    0 (1545.9,726.9)=    0 (1545.9,727.0)=    0 (1545.8,727.0)=    0 (1545.9,727.0)=    0 
     13 | (1422.0,585.0)=23545 (1421.8,584.9)=    0 (1422.0,585.0)=19705 (1422.0,585.3)=    0 (1422.1,585.2)=    0 (1422.2,585.2)=    0 (1422.1,585.2)=    0 (1422.0,585.0)=22781 (1422.2,584.9)=    0 (1422.1,584.7)=    0 (1421.8,584.6)=    0 (1421.8,584.8)=    0 (1421.8,585.0)=    0 (1421.9,585.2)=    0 (1421.5,584.9)=    0 (1421.4,585.2)=    0 (1421.4,584.9)=    0 (1421.1,584.9)=    0 (1412.0,601.0)=20509 (1412.1,601.6)=    0 
     14 | (1628.0,1073.0)=23431 (1628.2,1073.2)=    0 (1628.4,1073.1)=    0 (1628.5,1073.3)=    0 (1628.5,1073.2)=    0 (1628.3,1073.1)=    0 (1628.1,1073.1)=    0 (1628.0,1072.8)=    0 (1627.8,1072.8)=    0 (1627.9,1072.7)=    0 (1627.8,1072.7)=    0 (1628.0,1072.7)=    0 (1628.0,1072.7)=    0 (1628.2,1072.8)=    0 (1628.3,1072.7)=    0 (1628.4,1072.8)=    0 (1628.6,1072.7)=    0 (1628.8,1073.0)=    0 (1628.8,1072.9)=    0 (1628.7,1073.1)=    0 
     15 | (847.0,608.0)=23410 (847.1,608.1)=    0 (847.0,608.0)=    0 (847.0,608.2)=    0 (847.1,608.2)=    0 (847.1,608.0)=    0 (847.0,608.2)=    0 (847.1,608.0)=    0 (847.0,608.1)=    0 (847.0,608.1)=    0 (846.9,608.1)=    0 (847.0,608.1)=    0 (847.0,608.1)=    0 (846.9,608.2)=    0 (847.0,608.2)=    0 (847.0,608.2)=    0 (847.0,608.0)=    0 (847.0,608.2)=    0 (846.9,608.1)=    0 (847.0,608.3)=    0 
     16 | (754.0,650.0)=23367 (754.0,650.0)=    0 (754.0,650.0)=    0 (754.0,650.1)=    0 (754.1,650.0)=    0 (754.0,649.9)=    0 (754.1,650.1)=    0 (754.1,649.8)=    0 (754.1,650.0)=    0 (754.0,650.0)=    0 (754.1,650.0)=    0 (754.1,649.9)=    0 (754.1,649.9)=    0 (754.0,650.0)=    0 (754.1,649.9)=    0 (754.1,650.0)=    0 (754.0,649.9)=    0 (754.1,650.0)=    0 (754.1,649.9)=    0 (754.1,650.1)=    0 
     17 | (1029.0,1001.0)=23350 (1029.0,1001.1)=    0 (1029.0,1001.0)=    0 (1029.0,1001.2)=    0 (1029.0,1001.1)=    0 (1029.0,1000.9)=    0 (1028.9,1001.2)=    0 (1029.0,1000.9)=    0 (1028.9,1001.1)=    0 (1029.0,1000.9)=    0 (1028.9,1001.0)=    0 (1029.0,1000.9)=    0 (1029.0,1000.9)=    0 (1029.0,1001.0)=    0 (1029.0,1000.9)=    0 (1028.9,1001.1)=    0 (1029.1,1001.0)=    0 (1029.0,1001.2)=    0 (1029.1,1001.0)=    0 (1029.1,1001.1)=    0 
     18 | (778.0,668.0)=23293 (778.0,668.0)=    0 (777.9,668.0)=    0 (778.0,668.1)=    0 (778.1,668.1)=    0 (778.0,668.0)=    0 (778.0,668.1)=    0 (778.2,667.8)=    0 (778.0,668.0)=    0 (778.0,667.9)=    0 (778.0,667.9)=    0 (778.1,667.9)=    0 (778.0,667.9)=    0 (778.0,668.0)=    0 (778.0,668.0)=    0 (778.0,668.0)=    0 (778.0,667.9)=    0 (778.0,668.0)=    0 (778.0,668.0)=    0 (778.0,668.1)=    0 
     19 | (1419.0,666.0)=22919 (1419.0,666.0)=    0 (1419.1,665.8)=    0 (1419.1,665.9)=    0 (1419.2,665.9)=    0 (1419.2,665.8)=    0 (1419.2,666.0)=    0 (1419.2,665.8)=    0 (1419.2,665.9)=    0 (1419.2,665.8)=    0 (1419.2,665.9)=    0 (1419.4,665.9)=    0 (1419.3,665.8)=    0 (1419.3,665.8)=    0 (1419.3,665.8)=    0 (1419.2,665.9)=    0 (1419.3,665.7)=    0 (1419.2,665.9)=    0 (1419.2,665.9)=    0 (1419.0,666.2)=    0 
     20 | (1410.0,775.0)=22900 (1410.0,775.1)=    0 (1410.0,774.9)=    0 (1410.0,775.0)=    0 (1410.0,775.0)=    0 (1410.0,775.0)=    0 (1410.0,775.1)=    0 (1410.0,774.9)=    0 (1410.0,774.9)=    0 (1410.0,774.9)=    0 (1409.9,774.9)=    0 (1410.1,774.9)=    0 (1410.0,774.9)=    0 (1410.0,774.9)=    0 (1409.9,774.9)=    0 (1409.8,775.1)=    0 (1409.9,774.8)=    0 (1409.9,775.0)=    0 (1409.9,775.0)=    0 (1409.9,775.0)=    0 
     21 | (1059.0,1000.0)=22668 (1059.1,1000.0)=    0 (1059.0,1000.0)=    0 (1059.0,1000.1)=    0 (1059.1,1000.0)=    0 (1059.0,999.9)=    0 (1059.0,1000.1)=    0 (1059.1,999.9)=    0 (1059.0,1000.0)=    0 (1059.1,999.9)=    0 (1059.1,1000.0)=    0 (1059.0,999.9)=    0 (1059.0,999.9)=    0 (1059.0,1000.0)=    0 (1059.2,999.9)=    0 (1059.2,1000.0)=    0 (1059.0,1000.0)=    0 (1058.9,1000.1)=    0 (1058.9,1000.0)=    0 (1059.1,1000.0)=    0 
     22 | (1041.0,967.0)=22612 (1041.0,967.0)=    0 (1041.0,966.9)=    0 (1041.0,967.0)=    0 (1041.1,966.9)=    0 (1041.1,966.8)=    0 (1041.1,967.0)=    0 (1041.2,966.8)=    0 (1041.1,966.9)=    0 (1041.2,966.8)=    0 (1041.3,966.9)=    0 (1041.4,966.9)=    0 (1041.5,967.0)=    0 (1041.3,967.1)=    0 (1041.5,966.9)=    0 (1041.4,967.1)=    0 (1041.5,966.9)=    0 (1041.5,967.1)=    0 (1041.6,967.0)=    0 (1041.8,967.0)=    0 
     23 | (1609.0,1073.0)=22385 (1609.0,1073.2)=    0 (1608.9,1073.1)=    0 (1608.8,1073.4)=    0 (1609.0,1073.4)=    0 (1609.1,1073.3)=    0 (1609.2,1073.4)=    0 (1609.3,1073.2)=    0 (1609.3,1073.2)=    0 (1609.5,1073.1)=    0 (1609.5,1073.2)=    0 (1610.0,1073.1)=    0 (1610.1,1073.1)=    0 (1610.2,1073.0)=    0 (1610.1,1072.9)=    0 (1610.4,1073.2)=    0 (1610.2,1072.9)=    0 (1610.2,1073.3)=    0 (1610.6,1073.2)=    0 (1610.7,1073.4)=    0 
     24 | (1424.0,631.0)=22211 (1424.0,631.0)=    0 (1424.1,630.8)=    0 (1424.1,630.9)=    0 (1424.1,630.8)=    0 (1424.1,630.7)=    0 (1424.1,630.8)=    0 (1424.2,630.8)=    0 (1424.1,630.9)=    0 (1424.1,630.9)=    0 (1424.1,630.9)=    0 (1424.1,630.8)=    0 (1424.1,630.8)=    0 (1424.1,630.8)=    0 (1424.1,630.8)=    0 (1424.0,631.0)=    0 (1424.1,630.8)=    0 (1424.0,631.0)=    0 (1423.9,630.9)=    0 (1423.9,631.1)=    0 
     25 | (608.0,975.0)=22048 (607.9,975.1)=    0 (607.9,975.1)=    0 (607.7,975.4)=    0 (607.9,975.5)=    0 (607.9,975.4)=    0 (607.9,975.7)=    0 (607.9,975.4)=    0 (607.8,975.4)=    0 (607.8,975.1)=    0 (607.9,975.3)=    0 (607.9,975.2)=    0 (607.9,975.3)=    0 (608.1,975.2)=    0 (608.0,975.3)=    0 (607.9,975.4)=    0 (608.0,975.2)=    0 (607.9,975.5)=    0 (608.0,975.2)=    0 (608.0,975.4)=    0 
     26 | (485.0,1405.0)=21924 (485.0,1404.9)=    0 (485.0,1404.9)=    0 (485.1,1405.0)=    0 (485.0,1404.9)=    0 (485.0,1404.9)=    0 (485.0,1405.1)=    0 (485.0,1404.9)=    0 (485.1,1405.0)=    0 (485.0,1404.9)=    0 (484.9,1404.9)=    0 (485.1,1405.0)=    0 (485.0,1405.0)=    0 (485.0,1405.1)=    0 (485.2,1405.1)=    0 (485.1,1405.1)=    0 (485.3,1404.9)=    0 (485.0,1405.0)=    0 (485.0,1404.9)=    0 (485.0,1405.1)=    0 
     27 | (1436.0,613.0)=21795 (1435.7,613.2)=    0 (1435.7,612.8)=    0 (1435.8,613.0)=    0 (1436.1,612.8)=    0 (1436.3,612.5)=    0 (1436.3,612.5)=    0 (1436.2,612.5)=    0 (1436.2,612.5)=    0 (1436.1,612.6)=    0 (1435.8,612.9)=    0 (1435.5,612.8)=    0 (1435.4,612.8)=    0 (1435.8,612.6)=    0 (1435.8,612.4)=    0 (1435.8,612.8)=    0 (1435.9,612.9)=    0 (1435.9,613.0)=    0 (1435.6,612.9)=    0 (1435.7,612.9)=    0 
     28 | (1428.0,808.0)=21708 (1427.9,808.1)=    0 (1428.1,807.9)=    0 (1428.0,808.2)=    0 (1428.2,808.1)=    0 (1428.3,808.0)=    0 (1428.2,808.2)=    0 (1428.3,808.0)=    0 (1428.1,808.2)=    0 (1427.9,808.1)=    0 (1427.7,807.9)=    0 (1427.7,807.8)=    0 (1427.7,807.8)=    0 (1427.7,807.9)=    0 (1427.5,807.8)=    0 (1427.4,808.1)=    0 (1427.6,807.9)=    0 (1427.8,808.1)=    0 (1427.7,808.1)=    0 (1427.6,808.1)=    0 
     29 | (1776.0,955.0)=21407 (1776.0,955.1)=    0 (1776.1,955.0)=    0 (1776.1,955.2)=    0 (1776.0,955.2)=    0 (1776.0,955.0)=    0 (1776.0,955.2)=    0 (1776.1,954.9)=    0 (1776.0,955.0)=    0 (1776.0,955.0)=    0 (1776.0,955.0)=    0 (1776.0,955.0)=    0 (1776.1,955.0)=    0 (1776.0,955.0)=    0 (1776.0,954.8)=    0 (1776.0,955.1)=    0 (1776.0,954.9)=    0 (1775.9,955.0)=    0 (1775.9,954.8)=    0 (1776.0,955.0)=    0 
     30 | (745.0,636.0)=21346 (745.0,636.1)=    0 (745.0,636.1)=    0 (745.0,636.1)=    0 (745.1,636.1)=    0 (745.1,636.0)=    0 (745.1,636.1)=    0 (745.1,635.9)=    0 (745.1,636.1)=    0 (745.0,636.1)=    0 (745.1,636.0)=    0 (745.1,636.0)=    0 (745.1,635.9)=    0 (745.1,636.0)=    0 (745.1,635.9)=    0 (745.1,636.0)=    0 (745.1,635.9)=    0 (745.2,636.1)=    0 (745.0,635.9)=    0 (745.2,636.1)=    0 
     31 | (875.0,1004.0)=21312 (874.9,1004.1)=    0 (874.9,1003.9)=    0 (874.9,1004.1)=    0 (875.0,1004.0)=    0 (874.9,1003.9)=    0 (874.8,1004.2)=    0 (874.9,1003.9)=    0 (874.9,1004.0)=    0 (874.9,1003.9)=    0 (874.9,1004.0)=    0 (875.1,1003.9)=    0 (875.0,1004.0)=    0 (875.0,1004.0)=    0 (874.9,1003.9)=    0 (875.0,1004.0)=    0 (875.1,1003.9)=    0 (875.1,1004.1)=    0 (875.1,1004.0)=    0 (875.0,1004.1)=    0 
     32 | (1518.0,715.0)=21272 (1518.0,715.1)=    0 (1518.0,715.0)=    0 (1518.0,715.2)=    0 (1518.0,715.1)=    0 (1518.0,715.0)=    0 (1518.0,715.1)=    0 (1518.1,714.9)=    0 (1517.9,715.1)=    0 (1518.0,715.1)=    0 (1517.9,715.1)=    0 (1518.1,715.1)=    0 (1517.9,715.0)=    0 (1517.9,715.1)=    0 (1517.8,715.1)=    0 (1517.7,715.1)=    0 (1517.8,714.9)=    0 (1517.9,715.1)=    0 (1517.9,714.9)=    0 (1518.0,715.1)=    0 
     33 | (599.0,613.0)=21204 (598.9,613.1)=    0 (598.8,613.1)=    0 (598.9,613.3)=    0 (599.0,613.2)=    0 (599.0,613.1)=    0 (599.1,613.2)=    0 (599.0,613.1)=    0 (598.9,613.2)=    0 (598.9,613.2)=    0 (599.0,613.2)=    0 (598.9,613.0)=    0 (599.0,613.0)=    0 (599.0,613.0)=    0 (599.0,613.1)=    0 (599.0,613.3)=    0 (599.0,613.2)=    0 (598.9,613.4)=    0 (599.1,613.2)=    0 (599.2,613.4)=    0 
     34 | (724.0,560.0)=21136 (724.0,560.1)=    0 (723.9,560.0)=    0 (724.0,560.1)=    0 (724.1,560.0)=    0 (724.0,560.0)=    0 (724.0,560.2)=    0 (724.0,560.1)=    0 (724.1,560.1)=    0 (724.0,560.1)=    0 (724.1,560.1)=    0 (723.9,560.1)=    0 (724.1,560.0)=    0 (724.0,560.0)=    0 (724.0,560.0)=    0 (724.0,560.1)=    0 (724.1,559.9)=    0 (724.1,560.1)=    0 (724.0,559.9)=    0 (724.0,560.1)=    0 
     35 | (1446.0,701.0)=21059 (1446.0,701.0)=    0 (1446.3,700.8)=    0 (1446.3,700.9)=    0 (1446.3,700.8)=    0 (1446.2,700.7)=    0 (1446.1,700.9)=    0 (1446.1,700.6)=    0 (1446.2,700.6)=    0 (1446.3,700.5)=    0 (1446.3,700.6)=    0 (1446.4,700.5)=    0 (1446.5,700.5)=    0 (1446.6,700.5)=    0 (1446.5,700.6)=    0 (1446.4,700.6)=    0 (1446.6,700.4)=    0 (1446.4,700.6)=    0 (1446.5,700.6)=    0 (1446.7,700.7)=    0 
     36 | (999.0,1010.0)=20821 (999.0,1010.0)=    0 (999.0,1009.9)=    0 (999.0,1010.1)=    0 (999.0,1010.0)=    0 (999.0,1009.9)=    0 (999.0,1010.2)=    0 (999.0,1009.9)=    0 (998.9,1010.0)=    0 (998.9,1009.9)=    0 (999.0,1009.9)=    0 (999.0,1009.9)=    0 (999.0,1009.9)=    0 (999.0,1010.0)=    0 (999.0,1009.9)=    0 (998.9,1010.1)=    0 (999.1,1009.9)=    0 (999.1,1010.1)=    0 (999.0,1010.0)=    0 (999.0,1010.0)=    0 
     37 | (1541.0,1142.0)=20655 (1540.9,1142.1)=    0 (1540.9,1142.0)=    0 (1540.9,1142.2)=    0 (1541.0,1142.2)=    0 (1540.9,1142.0)=    0 (1540.8,1142.3)=    0 (1541.0,1142.1)=    0 (1541.0,1142.1)=    0 (1541.0,1142.1)=    0 (1540.9,1142.1)=    0 (1541.0,1142.1)=    0 (1540.9,1142.1)=    0 (1540.9,1142.1)=    0 (1540.9,1142.0)=    0 (1540.9,1142.3)=    0 (1541.0,1142.1)=    0 (1541.0,1142.3)=    0 (1540.9,1142.3)=    0 (1540.8,1142.2)=    0 
     38 | (1049.0,1047.0)=20653 (1049.0,1047.0)=    0 (1049.0,1046.9)=    0 (1049.0,1047.0)=    0 (1049.0,1047.0)=    0 (1048.9,1046.9)=    0 (1048.9,1047.1)=    0 (1049.0,1046.8)=    0 (1048.9,1047.0)=    0 (1048.9,1046.9)=    0 (1048.9,1046.9)=    0 (1048.9,1046.8)=    0 (1048.9,1046.9)=    0 (1049.0,1046.9)=    0 (1049.2,1047.1)=    0 (1049.0,1047.0)=    0 (1049.0,1046.9)=    0 (1049.0,1047.2)=    0 (1049.0,1046.9)=    0 (1049.0,1047.0)=    0 
